Test Index,Train Index,Score,Computing Time (s),Space Usage (MB),Same Class
1806,315,0.8946313112414261,0.01656700000012279,1.70849609375,False
1810,250,0.7515688714224871,0.019640682000044762,1.707906723022461,False
1815,235,1.9396599710625984,0.006265714000164735,1.7096939086914062,False
1817,296,1.7443380402441697,0.02485678899984123,1.7087078094482422,True
1820,258,1.5395867285720388,0.006457877999764605,1.7087688446044922,False
1839,179,2.0855465540154703,0.021311074000095687,1.7090349197387695,True
1855,49,1.8731973768113486,0.018966251999700035,1.709395408630371,True
1859,387,1.1931873661557755,0.004331126999659318,1.7089815139770508,False
1860,277,0.24712850471668213,0.01301911599966843,1.7079668045043945,True
1873,319,1.670169368923008,0.004263062000063655,1.708871841430664,False
1876,65,1.3986704343190834,0.020051525000326365,1.708479881286621,False
1877,296,0.8526516684562077,0.013268842000343284,1.7080230712890625,False
1879,380,1.9800005323859085,0.025271365999742557,1.709024429321289,True
1880,46,1.1634428773231225,0.00822680200008108,1.7084369659423828,False
1884,223,0.9985688009387885,0.022203899000032834,1.707855224609375,True
1888,49,0.2990808343966166,0.016429032999894844,1.708003044128418,True
1896,315,1.2360172856105067,0.01526035500000944,1.7090749740600586,False
1912,89,1.1079191341933559,0.012664611000218429,1.708160400390625,False
1917,197,1.2147523645403637,0.011300914999992528,1.708383560180664,False
1925,54,1.661781462298775,0.016115061000164133,1.7088003158569336,False
1927,286,1.5180147675054512,0.01926607299992611,1.7087621688842773,False
1939,235,1.6719368616310073,0.025923251999756758,1.7083873748779297,False
1953,81,1.6593675085199704,0.009646793000229081,1.7088184356689453,False
1960,46,0.8715167734905697,0.012534420000065438,1.7081842422485352,False
1977,223,1.2877470747967714,0.01917822800032809,1.7087030410766602,False
1983,81,1.3840358255428609,0.01849205600001369,1.7087984085083008,False
2004,296,1.6376047534161915,0.00489827499995954,1.7088193893432617,False
2019,65,1.2585550373259606,0.021272956999837334,1.7086963653564453,True
